gen,zone,tech,fuel,StYr,RetrYr,Capacity,UnitSize,Status,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,Life
Kotu G5,Gambia,ICE,HFO,2018,2024,12.2,12.2,1,,,,,0.6,,,,,,,,,,
Kotu G6,Gambia,ICE,HFO,1989,2024,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Kotu G7,Gambia,ICE,HFO,2001,2024,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Kotu G8,Gambia,ICE,HFO,2018,2024,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Brikama G1,Gambia,ICE,LFO,2006,2030,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Brikama G3,Gambia,ICE,HFO,2006,2024,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Brikama G4,Gambia,ICE,HFO,2006,2024,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Brikama G6,Gambia,ICE,HFO,2013,2024,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Brikama G7,Gambia,ICE,HFO,2018,2024,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Brikama II,Gambia,ICE,HFO,2018,2038,8.9,8.9,1,,,,,0.6,,,,,,,,,,
Brikama III G1,Gambia,ICE,HFO,2021,2041,9.4,9.4,1,,,,,0.6,,,,,,,,,,
Brikama III G2,Gambia,ICE,HFO,2021,2041,9.4,9.4,1,,,,,0.6,,,,,,,,,,
Karpower 1,Gambia,ICE,HFO,2018,2050,18.9,18.9,1,,,,,0.6,,,,,,0,0,60,,
Karpower 2,Gambia,ICE,HFO,2018,2050,18.9,18.9,1,,,,,0.6,,,,,,0,0,60,,
Farafenni,Gambia,ICE,HFO,2018,2038,4.8,4.8,1,,,,,0.6,,,,,,,,,,
Basse,Gambia,ICE,HFO,2016,2036,5.4,5.4,1,,,,,0.6,,,,,,,,,,
Jambur PV,Gambia,PV,Solar,2024,2047,23,1,1,,,,,0,,,,,,,,,,
Jambur BESS,Gambia,Storage,Battery,2024,2037,2,1,1,,,,,,,,,,,,,,,
Import Guinea,Gambia,ImportTransmission,Import,2024,2050,32,1,1,,,,,,,,,,,0,0,110,,
Import Senegal,Gambia,ImportTransmission,Import,2010,2050,40,1,1,,,,,,,,,,,0,0,150,,
Import Senegal MV,Gambia,ImportTransmission,Import,2010,2050,5,1,1,,,,,,,,,,,0,0,220,,
New ICE,Gambia,ICE,HFO,2030,2050,1000,5,3,0,,,5,0.4,7.36,,,,,1.019,18500,6.5,,
New CCGT,Gambia,CCGT,Gas,2030,2050,50,50,3,0,,,50,,,,,,,1.484,37100,6.51,,
New Solar,Gambia,PV,Solar,2030,2050,1000,5,3,0,,,20,0,,,,,,0.98,27300,0,,
New BESS,Gambia,Storage,Battery,2030,2050,1000,1,3,0,,,5,,,,,,,,,,,
New CCGT Senegal,Gambia,CCGT,Gas,2035,2050,400,50,3,0,,,50,,,,,,,0.866,6200,5.51,,
New CCGT Cote d'Ivoire,Gambia,CCGT,Gas,2035,2050,400,50,3,0,,,50,,,,,,,0.866,6200,5.51,,
New OMVG Import,Gambia,ImportTransmission,Import,2028,2050,10,10,3,0,,,10,,,,,,,0,0,150,,
Solar Project,Gambia,PV,Solar,2028,2048,50,50,2,0,,,50,,,,,,,0.98,27300,0,,
BESS Project,Gambia,Storage,Battery,2028,2043,10,10,2,0,,,10,,,,,,,,,,,
